web_scraper_order,web_scraper_start_url,Pagination,V1,V2,V3,V4-src
"1771768127-1","https://sn.coinafrique.com/categorie/autres-animaux","","Canard de barbarie","12 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5769889_uploaded_image1_1770826381.jpg"
"1771768127-2","https://sn.coinafrique.com/categorie/autres-animaux","","Taureau 300 kg","750 000CFA","Matam, Sénégal","https://images.coinafrique.com/thumb_5737439_uploaded_image1_1769181361.jpg"
"1771768127-3","https://sn.coinafrique.com/categorie/autres-animaux","","Oiseaux exotiques","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5716215_uploaded_image1_1768207752.jpg"
"1771768127-4","https://sn.coinafrique.com/categorie/autres-animaux","","Scottish Fold","720 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673757_uploaded_image1_1765819078.jpg"
"1771768127-5","https://sn.coinafrique.com/categorie/autres-animaux","","Chaton","750 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg"
"1771768127-6","https://sn.coinafrique.com/categorie/autres-animaux","","Chaton Persan","650 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673747_uploaded_image1_1765818767.jpg"
"1771768127-7","https://sn.coinafrique.com/categorie/autres-animaux","","British Long Hair Blue","750 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673744_uploaded_image1_1765818608.jpg"
"1771768127-8","https://sn.coinafrique.com/categorie/autres-animaux","","Chaton","750 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673743_uploaded_image1_1765818498.jpg"
"1771768127-9","https://sn.coinafrique.com/categorie/autres-animaux","","Auqarium 110 litre et couple de tortue","50 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5672207_uploaded_image1_1765734200.jpg"
"1771768127-10","https://sn.coinafrique.com/categorie/autres-animaux","","Chatons","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_5671561_uploaded_image1_1765674851.jpg"
"1771768127-11","https://sn.coinafrique.com/categorie/autres-animaux","","Perroquets rose gorge","40 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5668046_uploaded_image1_1765474059.jpg"
"1771768127-12","https://sn.coinafrique.com/categorie/autres-animaux","","Taureau","2 500 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_5634272_uploaded_image1_1763756384.jpg"
"1771768127-13","https://sn.coinafrique.com/categorie/autres-animaux","","Bœuf","650CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5632019_uploaded_image1_1763646437.jpg"
